id,hospital_name,rating,review
1,Serene Medical Center,5,"Serene Medical Center deserves nothing less than five stars. The staff was incredibly compassionate, skilled, and went above and beyond."
2,Harmony General Hospital,2,Harmony General Hospital was a disappointment. The staff seemed indifferent and the facilities were poorly maintained.
3,Sunrise Healthcare,4,Sunrise Healthcare provided exceptional care. The staff was friendly and the facilities were clean and modern.
4,Tranquil Medical Center,3,"Tranquil Medical Center was average. The staff was competent, but the facilities could use some improvement."
5,Sacred Heart Hospital,5,Sacred Heart Hospital exceeded my expectations. The doctors were knowledgeable and the care provided was exceptional.
6,Gentle Care Medical Center,3,"Gentle Care Medical Center was satisfactory. The staff was friendly, but the waiting times were longer than expected."
7,Serenity General Hospital,1,Serenity General Hospital was a complete disappointment. The staff seemed uncaring and the facilities were outdated.
8,Hope Health Center,4,Hope Health Center provided excellent care. The staff was attentive and the facilities were well-maintained.
9,Tranquility Medical Center,2,Tranquility Medical Center fell short of expectations. The staff was disorganized and the wait times were excessive.
10,Oasis Hospital,5,Oasis Hospital provided top-notch care. The staff was compassionate and the facilities were pristine.
11,Serene Medical Center,5,"Serene Medical Center provided outstanding care. The staff was incredibly attentive, and the facilities were clean and modern."
12,Harmony General Hospital,2,"Harmony General Hospital fell short of expectations. The staff seemed disinterested, and the facilities were in need of updates."
13,Sunrise Healthcare,4,"Sunrise Healthcare delivered excellent care. The staff was friendly, and the facilities were well-maintained."
14,Tranquil Medical Center,3,"Tranquil Medical Center was average. The staff was competent, but the facilities could use improvement."
15,Sacred Heart Hospital,5,"Sacred Heart Hospital exceeded my expectations. The doctors were knowledgeable, and the care provided was exceptional."
16,Gentle Care Medical Center,3,"Gentle Care Medical Center was satisfactory. The staff was friendly, but the wait times were longer than expected."
17,Serenity General Hospital,1,"Serenity General Hospital was a disappointment. The staff seemed indifferent, and the facilities were outdated."
18,Hope Health Center,4,"Hope Health Center provided exceptional care. The staff was attentive, and the facilities were clean and well-equipped."
19,Tranquility Medical Center,2,"Tranquility Medical Center provided subpar care. The staff seemed overwhelmed, and the wait times were excessive."
20,Oasis Hospital,5,"Oasis Hospital deserves five stars. The staff was compassionate, skilled, and the facilities were top-notch."
21,MedStar Medical Center,4,"MedStar Medical Center delivered exceptional care. The staff was knowledgeable, and the facilities were state-of-the-art."
22,Riverside General Hospital,2,"Riverside General Hospital provided mediocre care. The staff seemed disorganized, and the facilities were in need of improvement."
23,Harmony Healthcare,3,"Harmony Healthcare was satisfactory. The staff was polite, but the facilities could be more modern."
24,Graceful Medical Center,5,"Graceful Medical Center provided top-notch care. The staff was compassionate, and the facilities were clean and well-maintained."
25,Restful General Hospital,2,"Restful General Hospital was below expectations. The staff lacked empathy, and the facilities were outdated."
26,Seraphic Health Center,4,"Seraphic Health Center delivered excellent care. The staff was attentive, and the facilities were well-equipped."
27,Wellness Medical Center,3,"Wellness Medical Center was decent overall. The staff was friendly, but the facilities could use some updates."
28,Tranquil Haven Hospital,1,"Tranquil Haven Hospital was a complete letdown. The staff was rude, and the facilities were unclean and poorly maintained."
29,Hopeful Care Medical Center,4,"Hopeful Care Medical Center provided exceptional care. The staff was knowledgeable, and the facilities were modern and clean."
30,Heavenly General Hospital,5,"Heavenly General Hospital deserved every bit of its five-star rating. The staff was caring, skilled, and the facilities were superb."
31,Tranquility Medical Center,2,"Tranquility Medical Center fell short of expectations. The staff seemed disinterested, and the facilities were in need of updates."
32,Serene Medical Center,5,"Serene Medical Center provided outstanding care. The staff was incredibly attentive, and the facilities were clean and modern."
33,Sunrise Healthcare,4,"Sunrise Healthcare delivered excellent care. The staff was friendly, and the facilities were well-maintained."
34,Harmony General Hospital,2,"Harmony General Hospital fell short of expectations. The staff seemed disinterested, and the facilities were in need of updates."
35,Sacred Heart Hospital,5,"Sacred Heart Hospital exceeded my expectations. The doctors were knowledgeable, and the care provided was exceptional."
36,Gentle Care Medical Center,3,"Gentle Care Medical Center was satisfactory. The staff was friendly, but the wait times were longer than expected."
37,Serenity General Hospital,1,"Serenity General Hospital was a disappointment. The staff seemed indifferent, and the facilities were outdated."
38,Hope Health Center,4,"Hope Health Center provided exceptional care. The staff was attentive, and the facilities were clean and well-equipped."
39,Tranquil Medical Center,3,"Tranquil Medical Center was average. The staff was competent, but the facilities could use improvement."
40,Riverside General Hospital,2,"Riverside General Hospital provided mediocre care. The staff seemed disorganized, and the facilities were in need of improvement."
41,Oasis Hospital,5,"Oasis Hospital deserves five stars. The staff was compassionate, skilled, and the facilities were top-notch."
42,MedStar Medical Center,4,"MedStar Medical Center delivered exceptional care. The staff was knowledgeable, and the facilities were state-of-the-art."
43,Graceful Medical Center,5,"Graceful Medical Center provided top-notch care. The staff was compassionate, and the facilities were clean and well-maintained."
44,Harmony Healthcare,3,"Harmony Healthcare was satisfactory. The staff was polite, but the facilities could be more modern."
45,Restful General Hospital,2,"Restful General Hospital was below expectations. The staff lacked empathy, and the facilities were outdated."
46,Seraphic Health Center,4,"Seraphic Health Center delivered excellent care. The staff was attentive, and the facilities were well-equipped."
47,Wellness Medical Center,3,"Wellness Medical Center was decent overall. The staff was friendly, but the facilities could use some updates."
48,Tranquil Haven Hospital,1,"Tranquil Haven Hospital was a complete letdown. The staff was rude, and the facilities were unclean and poorly maintained."
49,Hopeful Care Medical Center,4,"Hopeful Care Medical Center provided exceptional care. The staff was knowledgeable, and the facilities were modern and clean."
50,Heavenly General Hospital,5,"Heavenly General Hospital deserved every bit of its five-star rating. The staff was caring, skilled, and the facilities were superb."
51,Tranquility Medical Center,2,"Tranquility Medical Center fell short of expectations. The staff seemed disinterested, and the facilities were in need of updates."
52,Serene Medical Center,5,"Serene Medical Center provided exceptional care. The staff was highly professional, and the facilities were clean and well-maintained."
53,Sunrise Healthcare,4,"Sunrise Healthcare delivered excellent care. The staff was friendly, and the facilities were well-equipped."
54,Harmony General Hospital,2,"Harmony General Hospital was a disappointment. The staff seemed indifferent, and the facilities were outdated."
55,Sacred Heart Hospital,5,"Sacred Heart Hospital exceeded my expectations. The doctors were knowledgeable, and the care provided was exceptional."
